ts_path	loc	rust_path	status	confidence	upstream_sha
crates/better-auth-rs-core/src/social_providers/google.ts	263	crates/better-auth-rs-core/src/social_providers/google.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/social_providers/huggingface.ts	119	crates/better-auth-rs-core/src/social_providers/huggingface.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/social_providers/index.ts	132	crates/better-auth-rs-core/src/social_providers/mod.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/social_providers/kakao.ts	179	crates/better-auth-rs-core/src/social_providers/kakao.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/social_providers/kick.ts	109	crates/better-auth-rs-core/src/social_providers/kick.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/social_providers/line.ts	169	crates/better-auth-rs-core/src/social_providers/line.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/social_providers/linear.ts	121	crates/better-auth-rs-core/src/social_providers/linear.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/social_providers/linkedin.ts	110	crates/better-auth-rs-core/src/social_providers/linkedin.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/social_providers/microsoft-entra-id.ts	391	crates/better-auth-rs-core/src/social_providers/microsoft_entra_id.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/social_providers/naver.ts	113	crates/better-auth-rs-core/src/social_providers/naver.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/social_providers/notion.ts	108	crates/better-auth-rs-core/src/social_providers/notion.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/social_providers/paybin.ts	118	crates/better-auth-rs-core/src/social_providers/paybin.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/social_providers/paypal.ts	371	crates/better-auth-rs-core/src/social_providers/paypal.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/social_providers/polar.ts	111	crates/better-auth-rs-core/src/social_providers/polar.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/social_providers/railway.ts	100	crates/better-auth-rs-core/src/social_providers/railway.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/social_providers/reddit.ts	126	crates/better-auth-rs-core/src/social_providers/reddit.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/social_providers/roblox.ts	112	crates/better-auth-rs-core/src/social_providers/roblox.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/social_providers/salesforce.ts	159	crates/better-auth-rs-core/src/social_providers/salesforce.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/social_providers/slack.ts	112	crates/better-auth-rs-core/src/social_providers/slack.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/social_providers/spotify.ts	94	crates/better-auth-rs-core/src/social_providers/spotify.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/social_providers/tiktok.ts	211	crates/better-auth-rs-core/src/social_providers/tiktok.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/social_providers/twitch.ts	112	crates/better-auth-rs-core/src/social_providers/twitch.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/social_providers/twitter.ts	199	crates/better-auth-rs-core/src/social_providers/twitter.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/social_providers/vercel.ts	87	crates/better-auth-rs-core/src/social_providers/vercel.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/social_providers/vk.ts	125	crates/better-auth-rs-core/src/social_providers/vk.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/social_providers/wechat.ts	220	crates/better-auth-rs-core/src/social_providers/wechat.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/social_providers/zoom.ts	230	crates/better-auth-rs-core/src/social_providers/zoom.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/types/context.ts	460	crates/better-auth-rs-core/src/types/context.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/types/cookie.ts	10	crates/better-auth-rs-core/src/types/cookie.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/types/helper.ts	27	crates/better-auth-rs-core/src/types/helper.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/types/index.ts	40	crates/better-auth-rs-core/src/types/mod.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/types/init-options.ts	1679	crates/better-auth-rs-core/src/types/init_options.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/types/plugin-client.ts	143	crates/better-auth-rs-core/src/types/plugin_client.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/types/plugin.ts	163	crates/better-auth-rs-core/src/types/plugin.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/types/secret.ts	8	crates/better-auth-rs-core/src/types/secret.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/utils/async.ts	53	crates/better-auth-rs-core/src/utils/async.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/utils/db.ts	20	crates/better-auth-rs-core/src/utils/db.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/utils/deprecate.ts	21	crates/better-auth-rs-core/src/utils/deprecate.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/utils/error-codes.ts	68	crates/better-auth-rs-core/src/utils/error_codes.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/utils/fetch-metadata.ts	3	crates/better-auth-rs-core/src/utils/fetch_metadata.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/utils/host.ts	416	crates/better-auth-rs-core/src/utils/host.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/utils/id.ts	5	crates/better-auth-rs-core/src/utils/id.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/utils/ip.ts	395	crates/better-auth-rs-core/src/utils/ip.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/utils/is-api-error.ts	10	crates/better-auth-rs-core/src/utils/is_api_error.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/utils/json.ts	56	crates/better-auth-rs-core/src/utils/json.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/utils/redirect-uri.ts	54	crates/better-auth-rs-core/src/utils/redirect_uri.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/utils/string.ts	40	crates/better-auth-rs-core/src/utils/string.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
crates/better-auth-rs-core/src/utils/url.ts	77	crates/better-auth-rs-core/src/utils/url.rs	todo	-	a90d061de7cdbd60e796230aadf5d1082add1fe2
